date,channel,characters,posts,responses,reactions,attachments
2019-02-25,-announcements,175,5,0,0,0
2019-02-26,-announcements,35,1,0,0,0
2019-02-27,-announcements,1580,15,7,9,0
2019-02-28,-announcements,2535,16,13,7,1
2019-03-01,-announcements,6782,11,31,37,7
2019-03-02,-announcements,1359,7,1,2,0
2019-03-03,-announcements,2687,5,9,9,2
2019-03-04,-announcements,5818,8,27,24,2
2019-03-05,-announcements,8575,17,63,72,1
2019-03-06,-announcements,1163,8,0,26,3
2019-03-07,-announcements,1698,7,3,18,2
2019-03-08,-announcements,264,2,1,0,0
2019-03-09,-announcements,152,1,0,1,0
2019-03-10,-announcements,1589,1,1,5,1
2019-03-11,-announcements,614,2,0,4,1
2019-03-12,-announcements,809,3,0,12,2
2019-03-13,-announcements,107,1,0,8,0
2019-03-14,-announcements,1420,6,0,7,0
2019-03-15,-announcements,618,1,2,5,1
2019-03-17,-announcements,338,1,1,3,1
2019-03-18,-announcements,374,1,0,5,1
2019-03-20,-announcements,1188,7,0,3,1
2019-03-21,-announcements,139,1,0,1,1
2019-03-22,-announcements,991,2,0,4,1
2019-03-25,-announcements,179,1,0,2,0
2019-03-26,-announcements,233,1,0,3,1
2019-03-27,-announcements,63,1,0,4,0
2019-03-29,-announcements,188,2,0,8,0
2019-04-01,-announcements,273,2,2,4,1
2019-04-03,-announcements,1249,2,4,10,1
2019-04-04,-announcements,622,4,3,9,2
2019-04-05,-announcements,337,2,1,5,2
2019-02-25,-events,447,7,1,1,1
2019-02-26,-events,1020,4,3,4,0
2019-02-27,-events,557,12,1,0,0
2019-02-28,-events,150,0,1,0,0
2019-03-02,-events,632,3,0,2,3
2019-03-03,-events,93,1,0,1,0
2019-03-04,-events,1914,4,4,7,3
2019-03-05,-events,2315,6,9,9,1
2019-03-06,-events,531,1,1,1,0
2019-03-07,-events,585,2,2,1,2
2019-03-08,-events,334,2,1,4,2
2019-03-09,-events,364,1,0,1,1
2019-03-11,-events,121,1,2,0,0
2019-03-12,-events,1107,4,5,6,3
2019-03-13,-events,1183,3,6,3,4
2019-03-14,-events,1767,6,4,7,3
2019-03-15,-events,701,2,3,3,2
2019-03-17,-events,575,0,3,1,0
2019-03-18,-events,495,1,8,1,0
2019-03-19,-events,1665,6,6,5,3
2019-03-20,-events,1127,4,11,7,2
2019-03-21,-events,1132,4,1,8,2
2019-03-22,-events,248,1,2,2,1
2019-03-24,-events,571,2,0,2,1
2019-03-25,-events,1110,1,3,2,1
2019-03-26,-events,1078,4,1,2,3
2019-03-27,-events,1411,1,1,5,1
2019-03-28,-events,76,1,0,1,1
2019-03-30,-events,403,1,0,1,1
2019-04-01,-events,489,3,0,2,3
2019-04-02,-events,1732,1,11,7,2
2019-04-03,-events,833,1,2,1,1
2019-04-04,-events,63,1,0,0,0
2019-04-05,-events,582,1,2,0,0
2019-04-06,-events,177,1,0,1,0
2019-02-25,-introductions,2671,10,7,13,0
2019-02-26,-introductions,696,4,2,1,0
2019-02-27,-introductions,13311,31,46,56,5
2019-02-28,-introductions,62792,100,177,267,33
2019-03-01,-introductions,76753,100,307,214,28
2019-03-02,-introductions,41007,36,172,80,32
2019-03-03,-introductions,55889,40,216,110,19
2019-03-04,-introductions,61135,93,238,203,33
2019-03-05,-introductions,39905,74,129,145,22
2019-03-06,-introductions,32187,41,130,90,8
2019-03-07,-introductions,19354,27,70,50,4
2019-03-08,-introductions,18330,23,53,48,9
2019-03-09,-introductions,5165,8,26,21,0
2019-03-10,-introductions,5683,10,19,27,3
2019-03-11,-introductions,11969,15,51,47,0
2019-03-12,-introductions,14840,17,53,43,8
2019-03-13,-introductions,13773,14,41,41,4
2019-03-14,-introductions,11826,18,23,31,4
2019-03-15,-introductions,15102,20,34,40,4
2019-03-16,-introductions,12000,9,49,25,3
2019-03-17,-introductions,3404,3,15,6,2
2019-03-18,-introductions,10008,8,25,14,4
2019-03-19,-introductions,8285,11,35,27,3
2019-03-20,-introductions,15675,14,48,35,5
