lat,long,data,visualization,society,date
36.97,-122.03,2.67,3.67,4.33,2/20/2019
42.28,-83.74,2.00,3.33,4.33,2/20/2019
42.28,-83.74,3.67,3.33,1.33,2/20/2019
19.08,72.88,3.67,3.33,2.67,2/20/2019
43.65,-79.38,3.33,3.00,3.33,2/20/2019
39.74,-104.99,3.00,3.00,1.67,2/20/2019
60.17,24.94,2.00,3.67,2.33,2/20/2019
38.91,-77.04,2.33,3.33,2.67,2/20/2019
-30.03,-51.22,4.00,3.00,3.33,2/20/2019
41.88,-87.63,4.00,3.33,3.00,2/20/2019
38.91,-77.04,3.00,3.67,4.00,2/20/2019
12.97,77.59,3.00,3.33,1.67,2/20/2019
39.95,-75.17,3.33,3.00,1.67,2/20/2019
51.51,-0.13,4.33,4.67,3.33,2/20/2019
-43.53,172.64,2.33,3.67,1.67,2/20/2019
37.80,-122.27,3.67,2.33,1.33,2/20/2019
43.36,-80.31,4.00,3.67,2.67,2/20/2019
38.91,-77.04,3.33,3.00,2.67,2/20/2019
38.91,-77.04,4.00,3.00,1.33,2/20/2019
12.97,77.59,2.33,2.67,1.00,2/20/2019
37.80,-122.40,3.67,3.67,1.67,2/20/2019
39.95,-75.17,4.00,4.00,4.67,2/20/2019
12.97,77.59,3.33,3.33,3.67,2/20/2019
34.05,-118.24,2.67,3.00,1.67,2/20/2019
38.91,-77.04,2.67,1.67,0.33,2/20/2019
34.05,-118.24,3.67,3.00,2.33,2/20/2019
51.51,-0.13,3.00,3.00,1.67,2/20/2019
47.61,-122.33,3.00,3.67,2.67,2/20/2019
41.68,-86.25,1.00,1.67,0.33,2/20/2019
23.81,90.41,0.00,0.00,1.67,2/20/2019
58.30,-134.42,2.00,2.67,1.33,2/20/2019
42.78,-71.08,2.00,2.33,1.00,2/20/2019
12.97,77.59,2.33,3.67,1.67,2/20/2019
40.41,-111.76,3.00,4.67,4.00,2/20/2019
34.02,-118.40,4.00,3.00,1.67,2/20/2019
40.71,-74.01,3.33,3.67,4.33,2/20/2019
38.91,-77.04,2.33,3.00,3.33,2/20/2019
26.71,-80.04,5.00,5.00,5.00,2/20/2019
40.01,-105.27,3.67,4.33,3.00,2/20/2019
37.44,-122.14,2.00,2.33,0.67,2/20/2019
12.97,77.59,2.33,1.67,2.33,2/20/2019
42.36,-71.06,4.00,3.33,2.33,2/20/2019
33.02,-96.70,3.67,3.33,3.33,2/20/2019
47.81,0.96,4.00,4.00,3.00,2/20/2019
36.10,-115.17,4.33,4.33,4.33,2/20/2019
42.36,-71.06,3.67,4.33,4.33,2/20/2019
52.21,0.12,3.00,3.00,3.67,2/20/2019
40.68,-73.94,1.00,3.00,1.67,2/20/2019
37.77,-122.42,4.00,4.00,4.00,2/20/2019
37.80,-122.27,3.33,3.67,2.00,2/20/2019
37.43,-78.66,3.00,3.00,1.67,2/20/2019
41.82,-71.41,3.67,3.00,3.00,2/20/2019
,,2.33,1.67,0.67,2/20/2019
37.51,-122.26,2.67,3.00,3.67,2/20/2019
51.51,-0.13,3.33,4.00,2.00,2/20/2019
21.02,-101.26,1.67,2.33,1.33,2/20/2019
41.31,-72.93,2.33,3.67,3.67,2/20/2019
40.23,-111.66,4.00,4.67,4.00,2/20/2019
38.98,-77.09,3.33,4.33,4.00,2/20/2019
40.23,-111.66,2.33,3.33,3.67,2/20/2019
,,3.67,4.00,3.33,2/20/2019
48.01,0.20,4.67,4.33,3.33,2/20/2019
39.33,-82.10,4.00,4.00,4.00,2/20/2019
52.52,13.40,4.00,2.67,1.67,2/20/2019
43.16,-77.61,3.00,4.00,3.33,2/20/2019
40.68,-73.94,3.67,4.00,1.00,2/20/2019
42.28,-83.74,2.67,3.00,2.67,2/20/2019
52.22,6.89,1.00,3.00,2.67,2/20/2019
41.88,-87.63,3.67,4.00,4.33,2/20/2019
12.97,77.59,1.33,3.00,1.00,2/20/2019
27.95,-82.46,4.00,4.00,4.67,2/20/2019
55.38,-3.44,2.33,3.67,2.33,2/20/2019
41.14,-102.98,2.00,2.00,1.00,2/20/2019
52.09,5.12,4.00,2.67,3.67,2/20/2019
51.51,-0.13,3.00,3.00,2.33,2/20/2019
60.17,24.94,3.33,3.33,3.00,2/20/2019
40.79,-77.86,3.00,2.67,2.33,2/20/2019
39.17,-86.53,0.67,2.33,1.33,2/20/2019
52.27,10.53,3.00,3.00,3.00,2/20/2019
38.91,-77.04,2.33,3.33,3.00,2/20/2019
46.88,-96.79,3.67,4.00,3.33,2/20/2019
44.43,26.10,3.33,3.67,3.33,2/20/2019
53.10,-1.56,2.67,3.67,3.33,2/20/2019
48.86,2.35,4.00,3.67,3.67,2/20/2019
,,2.00,1.67,0.33,2/20/2019
47.61,-122.33,3.33,3.33,2.67,2/20/2019
12.97,77.59,2.67,3.00,1.33,2/20/2019
41.50,-81.69,4.00,4.00,4.33,2/20/2019
40.71,-74.01,3.33,2.67,0.67,2/20/2019
41.39,2.17,3.67,3.67,2.33,2/20/2019
40.76,-111.89,3.67,2.00,2.67,2/20/2019
51.51,-0.13,3.00,3.00,3.00,2/20/2019
